9	194	17	12	7	12	12	12	13	12	12	11	8	8	9	11	17	12	12	14			
		Random_03	Random_01	Random_03	Random_05	Random_06	Random_07	Random_08	Random_20	Random_21	Random_22	Random_23	Random_25	Random_27	Random_28	Random_29	Random_30	Random_31	Random_32			
FIELD_NUMBER	FRAG	Ob03_1	Ob03_2	Ob10_1	Ob10_2	Ob04_1	Ob04_2	Ob16_1	Ob16_2	Ob12_1	Ob12_2	Ob22_1	Ob22_2	Ob06_1	Ob06_2	Ob07_1	Ob07_2	Ob23_1	Ob23_2	UTM1	UTM2	TISSUE_TYPE
07-0198	Random_01	94	108	150	158	137	141	130	138	231	231	199	201	191	191	173	177	225	225	643994	38493	Seed
07-0199	Random_01	108	108	148	154	137	137	128	130	227	231	199	201	191	191	171	181	225	225	643987	38484	Seed
07-0200	Random_01	106	110	148	152	137	137	130	138	231	231	199	201	191	191	171	173	225	225	644000	38495	Seed
07-0201	Random_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644000	38492	Seed
07-0202	Random_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644003	38494	Seed
07-0203	Random_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644001	38497	Seed
07-0204	Random_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644000	38492	Seed
07-0205	Random_01	108	108	148	156	137	137	128	138	0	0	0	0	191	193	171	181	225	225	644014	38494	Seed
07-0206	Random_01	108	108	148	154	137	137	128	130	227	231	199	201	191	191	171	181	225	225	644008	38480	Seed
07-0207	Random_01	104	108	148	154	137	137	128	130	231	231	199	201	191	193	171	181	225	225	644020	38481	Seed
07-0208	Random_01	108	108	148	154	137	137	128	130	227	231	199	201	191	191	171	181	225	225	644005	38480	Seed
07-0209	Random_01	108	108	148	154	137	137	128	130	227	231	199	201	191	191	171	181	225	225	644012	38493	Seed
07-0001	Random_03	98	108	150	154	137	139	128	128	231	243	193	199	185	191	173	181	225	238	643982	38622	Seed
07-0004	Random_03	108	108	148	156	137	137	130	130	231	243	175	199	191	191	171	181	225	225	643976	38617	Seed
07-0005	Random_03	108	108	148	156	137	137	130	130	231	243	175	199	191	191	171	181	225	225	643975	38620	Seed
07-0006	Random_03	108	110	156	160	137	139	128	130	231	231	167	199	185	191	171	177	225	225	643980	38626	Seed
07-0007	Random_03	108	108	148	156	137	137	130	130	231	243	175	199	191	191	171	181	225	225	643981	38627	Seed
07-0008	Random_03	100	108	156	156	137	137	130	138	231	245	167	193	191	191	171	173	225	238	643977	38621	Seed
07-0010	Random_03	108	108	148	156	137	137	130	130	231	243	175	199	191	191	171	181	225	225	643974	38622	Seed
07-0018	Random_05	98	108	150	154	137	139	130	130	231	231	201	203	191	193	171	171	225	238	644030	38728	Seed
07-0020	Random_05	98	108	150	154	137	139	130	130	231	231	201	203	191	193	171	171	225	238	644029	38736	Seed
07-0021	Random_05	98	104	154	160	137	137	130	138	231	243	167	205	191	191	173	179	225	225	644030	38729	Seed
07-0023	Random_05	98	108	150	154	137	139	130	130	231	231	201	203	191	193	171	171	225	238	644035	38732	Seed
07-0025	Random_05	98	108	150	154	137	139	130	130	231	231	203	205	191	193	171	171	225	238	644035	38741	Seed
07-0026	Random_05	108	112	154	156	129	137	128	130	231	231	167	205	191	191	171	171	225	238	644037	38738	Seed
07-0027	Random_05	94	108	154	156	137	137	130	138	231	231	165	199	191	193	165	177	225	225	644042	38727	Seed
07-0028	Random_05	98	110	150	160	137	139	130	130	231	231	165	197	185	193	171	171	225	238	644038	38729	Seed
07-0029	Random_05	106	110	150	158	137	143	130	138	231	231	165	197	191	193	171	175	225	225	644041	38736	Seed
